排名	词语	全局频次	共现种子种类	共现总权重	得分	主要共现种子
20	和慢	12	16	171.36	82.3935	感染(18.2), 支气管(15.8), 症状(14.7), 急性加重(14.2), 合并症(14.0)
21	的健	11	16	171.22	82.3802	问卷(18.6), 修订版指南(18.4), SARSCoV(14.0), 患者(13.7), 领域(12.7)
22	应对	12	16	146.69	79.9222	患者(20.5), 方案(17.7), 任何(10.6), 死亡(10.1), 维持(8.8)
23	率的	11	16	144.46	79.6782	升高(14.1), 中国(12.6), 发作(12.1), 吸烟(11.5), 试验(10.0)
24	严重的	14	16	141.28	79.3249	呼吸困难(15.3), 合并症(14.0), 胸闷(10.6), 损害(10.0), 感觉(8.8)
25	中华结核	58	12	488.08	74.3103	呼吸(391.8), 专家共识(21.0), 修订版(9.6), 检查(8.8), 临床(8.7)
26	华结核	58	12	488.08	74.3103	呼吸(391.8), 专家共识(21.0), 修订版(9.6), 检查(8.8), 临床(8.7)
27	疗可	11	15	127.39	72.8259	患者(13.7), 储物罐(12.8), 蛋白酶(11.2), 家庭(10.2), 疫苗接种(9.4)
28	慢阻肺急性	61	15	126.98	72.7779	治疗(13.3), 简称(10.8), 近年来(9.4), 重度(9.2), 戒烟(8.9)
29	的其	7	15	125.88	72.6491	疾病(13.2), 欧洲(12.7), 环境(11.4), 戒烟(8.9), 住院(8.8)
30	理和	9	14	172.22	72.1638	预防(24.9), 精神(24.7), 诊断(16.4), 全球(16.3), 疾病(13.2)
31	和急	11	14	149.27	70.1742	症状(29.4), 呼吸困难(22.9), 温度(14.8), 衰竭(10.4), 事件(10.4)
32	1慢	11	14	142.15	69.4947	关键(25.8), 急性加重(14.2), Emailzgqkyxchinagpnetcn(10.9), 条件(10.7), 筛查(9.1)
33	的改	9	14	135.94	68.8735	优于单(19.9), 终点(18.4), 症状(14.7), 肌肉(10.7), 经济地位(10.6)
34	的急性	14	14	135.05	68.7818	风险(17.8), 严重(14.0), 胃肠(12.0), 频繁(10.9), 衰竭(10.4)
35	群的	10	14	114.59	66.5003	目标(15.3), 肌肉(10.7), 提供(9.5), 运动(8.4), 心力衰竭(8.3)
36	患者应	16	14	114.2	66.4533	危险因素(17.6), 采取(9.6), 远程(8.6), 预防(8.3), 接种(7.6)
37	者使	7	14	111.59	66.132	装置(10.7), 意愿(9.8), 注意(9.1), 风险(8.9), 戒烟(8.9)
38	的发作	7	14	110.89	66.0447	清楚(11.7), 报告(11.7), 死亡(10.1), 重度(9.2), 抗生素(8.8)
39	和气	10	13	148.55	65.0996	哮喘(22.4), 简称(21.6), 症状(14.7), 反应(14.0), 黏液高分泌(11.4)
40	征的	5	14	96.9	64.1747	事件(10.4), 微生物群(9.2), 临床(8.7), 结果(7.6), 抗菌药物(7.4)
41	的医	9	13	134.76	63.8414	务人员(22.5), 传统(17.8), 条件(10.7), 培训(10.4), 专业(9.7)
42	COPD的	9	13	130.19	63.3963	治疗(20.0), 锻炼(14.0), 报告(11.7), 疑似(10.3), 造成(9.8)
43	的诊	12	13	128.25	63.2026	提供(19.0), 慢阻肺(18.0), 急性加重(14.2), 规范(9.6), 更新要点(9.3)
44	的健康	10	13	126.34	63.0096	修订版指南(18.4), 领域(12.7), 密切(12.3), 障碍(11.3), 教育(10.3)
45	治疗中	11	13	120.3	62.3777	感染(18.2), 奥达特罗(10.7), 祛痰(10.6), 专家共识(10.5), 专家(9.2)
46	疗慢	13	13	116.85	62.0019	急性加重(14.2), 营养(12.1), 溴铵(11.3), 噻托溴铵(11.3), 衰竭(10.4)
47	能的	12	13	114.55	61.7458	下降(16.0), 损伤(10.7), 任何(10.6), 雾化器(9.6), 持续(9.1)
48	疾病对	6	13	114.4	61.7292	患者(13.7), 儿童(12.7), 健康状况(9.8), 日常生活(9.6), 细胞计数(9.3)
49	病对	6	13	114.4	61.7292	患者(13.7), 儿童(12.7), 健康状况(9.8), 日常生活(9.6), 细胞计数(9.3)
50	的合并症	11	13	113.72	61.6529	严重(14.0), 患者(13.7), 疾病(13.2), 给予(10.8), 认识(9.2)
51	效的	10	13	112.96	61.5656	支气管舒张剂(16.8), 暴露(11.2), 所选择的终点(9.9), 污染(9.9), 刺激(9.7)
52	并症的	12	13	112.68	61.5345	处理(16.6), 慢阻肺(12.0), 总体来说(11.1), 禁忌证(9.9), 动脉(8.2)
53	的或	6	13	109.54	61.1695	潜在(15.2), 水平(9.6), 注意(9.1), 持续(9.1), 健康(9.1)
54	的长	6	13	109.34	61.1459	支气管舒张剂(16.8), 免疫(9.9), 调整(9.4), 健康(9.1), 维持(8.8)
55	治疗可	10	13	100.44	60.0526	蛋白酶(11.2), 家庭(10.2), 疫苗接种(9.4), 罗氟司特(9.2), 三联(9.0)
56	以在	5	13	97.38	59.6551	补充(10.2), 社区(9.7), 控制(9.1), 康复(8.3), 下降(8.0)
57	JJ	19	12	140.41	59.4196	pulmonarydisease(26.3), obstructivepulmonarydisease(17.4), noninvasive(13.6), EBOL(12.8), systematicreview(11.7)
58	程度的	11	13	92.2	58.9521	损害(10.0), 临床(8.7), 分析(8.4), 进展(7.6), 定义(7.6)
59	diseasea	16	12	132.14	58.697	randomisedcontrolled(20.8), crosssectional(13.6), studyJ(13.3), populationbased(12.9), doubleblind(12.8)
60	肺急性加	65	12	129.15	58.4242	住院(35.4), 患者(27.3), 风险(8.9), 合并(7.2), 合并症(7.0)
61	吸入性	13	11	186.54	57.5738	糖皮质激素(87.7), 支气管扩张(17.4), 受体激动剂(17.1), 给予(10.8), 口服(9.9)
62	入性	13	11	186.54	57.5738	糖皮质激素(87.7), 支气管扩张(17.4), 受体激动剂(17.1), 给予(10.8), 口服(9.9)
63	常的	8	12	117.97	57.3464	患者(20.5), 反应(14.0), 炎症(11.9), 蛋白(10.8), 引起(9.9)
64	和患	8	12	117.57	57.3057	临床(17.4), 患者(13.7), 报告(11.7), 务人员(11.2), 获益(10.5)
65	院的	8	12	114.65	57.007	患者(20.5), 其他(17.0), 伴有发热(10.9), 基础(9.0), 戒烟(8.9)
66	者在	11	12	112.46	56.7769	临床(17.4), 抗菌治疗(12.2), 暴露(11.2), 条件(10.7), 水平(9.6)
67	的建	6	12	109.01	56.4069	寒冷(13.0), 世界卫生组织(12.7), 引起(9.9), 三联(9.0), 人群(8.9)
68	用或	7	12	108.78	56.3819	联合(21.3), 哮喘(11.2), 口服(9.9), 风险(8.9), 短效(7.9)
69	性疾	8	12	108.27	56.3264	患者(13.7), 一种(12.3), 免疫(9.9), 基础(9.0), 检查(8.8)
70	性疾病	8	12	108.27	56.3264	患者(13.7), 一种(12.3), 免疫(9.9), 基础(9.0), 检查(8.8)
71	病和	10	12	106.96	56.1815	呼吸(13.7), 负担(10.8), 衰竭(10.4), 实验室(10.2), 糖尿(10.2)
72	现的	7	12	106.03	56.0775	任何(21.2), 风险(8.9), 临床(8.7), 支气管扩张(8.7), 体重指数(8.6)
73	性和	10	12	99.32	55.3009	药物(15.4), 操作(8.8), 稳定(8.6), 其他(8.5), 分析(8.4)
74	案的	8	12	98.91	55.2518	EBOL(12.8), 遵循(12.2), 技术(10.1), 工作(8.4), 实施(8.3)
75	疗与	7	12	95.22	54.7996	慢阻肺(12.0), 附属(11.1), 住院(8.8), 危险因素(8.8), 康复(8.3)
76	有呼	9	11	142.65	54.6413	症状(51.4), 疾病(13.2), 疲劳(12.7), 衰竭(10.4), 修订版指南(9.2)
77	的长期	5	12	92.56	54.4634	免疫(9.9), 调整(9.4), 健康(9.1), 维持(8.8), 保持(8.0)
78	患有	8	12	91.45	54.3198	慢阻肺(12.0), 哮喘(11.2), 污染(9.9), 诊断(8.2), 支气管(7.9)
79	的原	7	12	86.25	53.6254	机构(9.1), 基层(8.9), 全球(8.1), 常见(7.5), 急性加重(7.1)
80	肺急性加重	65	11	123.46	53.0641	住院(35.4), 患者(27.3), 风险(8.9), 合并(7.2), 合并症(7.0)
81	的血	5	11	109.26	51.7313	浓度(16.3), 药物(15.4), 睡眠(12.0), 茶碱(10.8), 监测(8.9)
82	疗程	7	11	105.69	51.3692	抗菌(16.3), 至少(16.1), 积极(10.2), 大环内酯类(9.4), 感染(9.1)
83	重和	7	11	98.91	50.6466	合并症(14.0), 频繁(10.9), 疑似(10.3), 感染(9.1), 住院(8.8)
84	核和	59	7	1365.68	50.541	杂志(492.9), 中华(431.3), 呼吸(398.7), 弥漫(12.6), systemicinflammation(12.3)
85	对患	8	11	97.66	50.5085	疾病(13.2), 教育(10.3), 问题(10.1), 健康状况(9.8), 日常生活(9.6)
86	的COPD	5	11	95.76	50.2949	患者(13.7), 公认(11.1), 足够(10.2), 风险(8.9), 指南(8.3)
87	的人群	9	11	95.16	50.2259	越来越(12.4), 暴露(11.2), 获益(10.5), 慢阻肺病(9.8), 心力衰竭(8.3)
88	可使	6	11	93.75	50.0642	弥散(12.2), 黏液高分泌(11.4), 丧失(10.6), 罗氟司特(9.2), 抗生素(8.8)
89	重或	8	11	93.45	50.0286	其他(17.0), 控制(9.1), 住院(8.8), 升级(8.2), 生活质量(8.1)
90	心肺	6	11	91.76	49.8302	风险(17.8), 影像(9.6), 扩张(8.8), 全身(8.6), 康复(8.3)
91	的其他	5	11	89.79	49.5939	疾病(13.2), 环境(11.4), 戒烟(8.9), 住院(8.8), 更新(7.7)
92	的中	7	11	88.63	49.4522	团队(12.5), 重度(9.2), 原则(8.8), 运动(8.4), 高碳酸血症(7.9)
93	是指	7	11	87.85	49.3564	吸入(13.1), 容积(8.8), 支气管舒张剂(8.4), 动脉(8.2), 支气管(7.9)
94	可以在	4	11	87.13	49.2673	补充(10.2), 社区(9.7), 控制(9.1), 康复(8.3), 下降(8.0)
95	方案的	8	11	86.72	49.2155	EBOL(12.8), 技术(10.1), 工作(8.4), 实施(8.3), 改变(7.9)
96	者需	5	11	84.49	48.9326	调整(9.4), 注意(9.1), 筛查(9.1), 运动(8.4), 高碳酸血症(7.9)
97	是对	7	11	84.42	48.9237	既往(11.8), 问题(10.1), 防御(10.0), 其他(8.5), 心血管(7.7)
98	有呼吸	9	10	129.39	48.7054	症状(51.4), 疲劳(12.7), 衰竭(10.4), 修订版指南(9.2), 咳痰(8.9)
99	和急性	9	10	117.71	47.7666	呼吸困难(22.9), 症状(22.0), 温度(14.8), 衰竭(10.4), 事件(10.4)
100	疗或	8	10	115.06	47.5414	治疗(40.0), 联合(14.2), 装置(10.7), 方面(7.9), 改变(7.9)
101	1慢阻	9	10	110.33	47.1249	关键(25.8), 急性加重(14.2), Emailzgqkyxchinagpnetcn(10.9), 条件(10.7), 筛查(9.1)
102	COPD治	21	8	351.59	46.9224	临床(156.9), 药物(138.7), 公认(11.1), 任何(10.6), 修订(10.3)
103	中应	6	10	105.36	46.6687	方案(17.7), 患者(13.7), 恩塞芬汀(12.7), 报告(11.7), 公认(11.1)
104	险和	5	10	101.62	46.3105	住院(17.7), 症状(14.7), 发作(12.1), 获益(10.5), 问题(10.1)
105	和慢阻	9	10	101.06	46.256	症状(14.7), 急性加重(14.2), 合并症(14.0), 技巧(11.6), 糖尿(10.2)
106	和患者	8	10	100.84	46.2336	临床(17.4), 患者(13.7), 报告(11.7), 获益(10.5), 教育(10.3)
107	烟的	5	10	97.42	45.8927	健康(18.1), 既往(11.8), 焦虑抑郁(10.6), 任何(10.6), 采取(9.6)
108	重点	5	10	95.12	45.6559	呼吸困难(15.3), 治疗(13.3), 教育(10.3), 问题(10.1), 基层(8.9)
109	高于	6	10	94.76	45.6181	轨迹(26.1), 正常(14.1), 室内(8.2), 温度(7.4), 气流受限(7.1)
110	年的	7	10	94.56	45.5978	调整(18.7), 原因(12.0), 修订(10.3), 水平(9.6), 基础上(8.3)
111	管的	5	10	93.49	45.4853	务人员(11.2), 依赖(10.7), 经济地位(10.6), 自我(9.2), 健康(9.1)
112	的建议	6	10	92.81	45.4132	寒冷(13.0), 世界卫生组织(12.7), 引起(9.9), 三联(9.0), 人群(8.9)
113	有气	8	10	90.01	45.11	潴留(13.1), 黏液高分泌(11.4), 百分比(10.0), 污染(9.9), 感觉(8.8)
114	时的	6	10	88.76	44.9711	急性加重(14.2), 患者(13.7), 睡眠(12.0), 处理(8.3), 诊断(8.2)
115	有研	8	10	87.9	44.8749	治疗(13.3), 领域(12.7), 争议(9.6), 细胞计数(9.3), 然而(8.6)
116	的支	9	10	87.41	44.8195	痉挛(13.5), 获益(10.5), 戒烟(8.9), 作用机制(8.8), 临床(8.7)
117	疗对	8	10	86.29	44.6926	联合(14.2), 什么(13.8), 抗生素(8.8), 血嗜酸粒细胞(8.5), 舒张剂(8.3)
118	对有	5	10	86.19	44.6808	避免(11.6), 抑郁(11.3), 颗粒(10.8), 咳嗽(10.5), 室内(8.2)
119	疗及	5	10	85.88	44.6454	姑息(11.6), 陈亚红(11.3), 肿瘤(10.8), 临床(8.7), 康复(8.3)
120	JRespirCrit	36	9	141.59	44.6396	obstructivepulmonarydisease(34.8), pulmonarydisease(26.3), chronicobstructivepulmonarydisease(16.9), studyJ(13.3), doubleblind(12.8)
121	可在	4	10	85.15	44.5614	哮喘(11.2), 甚至(10.7), 基层医疗机构(9.1), 起始(8.9), 原则(8.8)
122	压的	5	10	84.65	44.5024	内容(25.1), 说明(9.0), 本文(8.5), 动脉(8.2), 患者(6.8)
123	应是	4	10	84.61	44.4979	吸入(13.1), 领域(12.7), 住院(8.8), 容积(8.8), 针对(7.8)
124	者肺	9	10	81.5	44.1279	慢阻肺(12.0), 球菌疫苗(10.6), 衰竭(10.4), 静息(9.8), 外周(9.0)
125	合并症的	11	10	80.38	43.9918	慢阻肺(12.0), 总体来说(11.1), 处理(8.3), 动脉(8.2), 严重程度(8.0)
126	善的	5	10	80.34	43.9865	随机对照(10.0), 临床(8.7), 开展(8.6), 设计(8.6), 运动(8.4)
127	者使用	6	10	78.27	43.7291	装置(10.7), 风险(8.9), 戒烟(8.9), 支气管(7.9), 每年(7.8)
128	者对	8	10	78.27	43.7287	治疗(13.3), 家庭(10.2), 日常生活(9.6), 评价(8.1), 反应(7.0)
129	疗时	8	10	77.92	43.6842	吸入(13.1), 补充(10.2), 受体激动剂(8.5), 延长(8.1), 雾化(7.7)
130	的时	6	10	77.24	43.5975	密切(12.3), 危险因素(8.8), 基础上(8.3), 至少(8.1), 要求(7.1)
131	结核和	59	6	1353.37	43.2666	杂志(492.9), 中华(431.3), 呼吸(398.7), 弥漫(12.6), 修订版(9.6)
132	佳的	5	10	73.68	43.1317	pMDISMI(10.2), 干预措施(9.7), 提供(9.5), ICSLABA(7.7), 反应(7.0)
133	素和	6	9	100.17	41.5511	环境(22.7), 因素(15.2), 个体(14.0), 口服(9.9), 抗生素(8.8)
134	1慢阻肺	9	9	99.58	41.499	关键(25.8), 急性加重(14.2), Emailzgqkyxchinagpnetcn(10.9), 筛查(9.1), 风险(8.9)
135	重患	13	9	98.25	41.3783	慢阻肺(30.0), 治疗(13.3), 避免(11.6), 方案(8.9), 门诊(7.9)
136	等对	6	9	96.51	41.2195	黏膜(21.3), 支气管(15.8), 因素(15.2), 全球(8.1), 卫生(8.0)
137	致病	6	9	94.7	41.0514	环境(22.7), 常见(15.0), 覆盖了(9.6), 风险(8.9), 危险因素(8.8)
138	疗等	6	9	91.39	40.7345	康复(16.7), 方面(15.8), 锻炼(14.0), 基层(8.9), 依据(8.3)
139	在使	5	9	87.39	40.3362	支气管舒张剂(16.8), 治疗(13.3), 茶碱(10.8), 失败(10.6), 维持(8.8)
140	在使用	5	9	87.39	40.3362	支气管舒张剂(16.8), 治疗(13.3), 茶碱(10.8), 失败(10.6), 维持(8.8)
141	量的	8	9	87.29	40.3252	受体激动剂(17.1), 比值(14.7), 负荷(11.2), FEVFVC(8.9), 抗生素(8.8)
142	到的	5	9	85.16	40.1063	障碍(11.3), 帮助(11.2), 问题(10.1), 试验(10.0), 信息(9.8)
143	对症	5	9	84.65	40.0522	治疗(20.0), 效果(13.8), 反映(9.6), 人群(8.9), 功能(7.5)
144	功能的	10	9	83.73	39.9548	下降(16.0), 损伤(10.7), 雾化器(9.6), 持续(9.1), 全程管理(8.9)
145	者合	8	9	83.6	39.9414	慢阻肺(18.0), 睡眠障碍(10.0), 影像(9.6), 手术(8.7), 高血压(8.4)
146	是肺	7	9	83.41	39.9209	康复(16.7), 鉴别诊断(9.6), 终点(9.2), 注意(9.1), 自我管理(8.9)
147	对患者	8	9	82.79	39.8551	疾病(13.2), 教育(10.3), 问题(10.1), 健康状况(9.8), 日常生活(9.6)
148	查和	7	9	82.49	39.8221	治疗(13.3), 恩塞芬汀(12.7), 问卷(9.3), 健康(9.1), 全身(8.6)
149	查的	6	9	82.29	39.8012	内容(16.8), 早期(15.3), 落实(10.1), 基层(8.9), 更新(7.7)
150	及心	4	9	81.53	39.7188	痉挛(13.5), 营养(12.1), 障碍(11.3), 人群(8.9), 下降(8.0)
151	研究J	4	9	80.93	39.6523	中华(14.9), 衰竭(10.4), 文献(10.0), 杂志(9.7), 影像(9.6)
152	究J	4	9	80.93	39.6523	中华(14.9), 衰竭(10.4), 文献(10.0), 杂志(9.7), 影像(9.6)
153	用支	13	9	80.53	39.609	支气管舒张剂(16.8), 条件(10.7), 咳嗽(10.5), 咳痰(8.9), 方面(7.9)
154	期和	6	9	79.72	39.5185	儿童(12.7), 慢阻肺病(9.8), 缩短(9.3), 人群(8.9), 衰老(8.7)
155	力的	7	9	79.41	39.4848	临床(17.4), 装置(10.7), 日常生活(9.6), 运动(8.4), 依据(8.3)
156	状或	6	9	78.05	39.3311	隐匿(14.8), 健康状况(9.8), 缓解(9.4), 改变(7.9), 呼吸困难(7.6)
157	需与	3	9	77.03	39.2135	慢阻肺(12.0), 死亡(10.1), 终末(9.9), 风险(8.9), 心力衰竭(8.3)
158	研究应	8	9	76.5	39.1524	临床(17.4), 说明(9.0), 作用机制(8.8), 针对(7.8), 药物(7.7)
159	究应	8	9	76.5	39.1524	临床(17.4), 说明(9.0), 作用机制(8.8), 针对(7.8), 药物(7.7)
160	并肺	9	9	76.48	39.1498	慢阻肺病(19.6), 衰竭(10.4), 急性加重(7.1), 合并症(7.0), 患者(6.8)
161	用以	4	9	76.26	39.125	装置(10.7), 推荐次序(10.2), 死亡(10.1), FEVFVC(8.9), 短效(7.9)
162	治疗有	6	9	74.76	38.9486	蛋白酶(11.2), 住院(8.8), 维持(8.8), 显示(8.8), 临床(8.7)
163	疗有	6	9	74.76	38.9486	蛋白酶(11.2), 住院(8.8), 维持(8.8), 显示(8.8), 临床(8.7)
164	其在	5	9	74.56	38.9249	治疗(20.0), 分析(8.4), 诊断(8.2), 药物(7.7), 指导(7.1)
165	或患	6	9	73.73	38.8247	吸入(13.1), 污染(9.9), 意识障碍(9.8), 方案(8.9), 心力衰竭(8.3)
166	推荐的	4	9	73.51	38.7984	指南(16.6), 戒烟(8.9), 减轻(8.2), 呼吸困难(7.6), 患者(6.8)
167	荐的	4	9	73.51	38.7984	指南(16.6), 戒烟(8.9), 减轻(8.2), 呼吸困难(7.6), 患者(6.8)
168	剂的	10	9	73.5	38.7969	基础上(16.6), 家庭(10.2), 临床(8.7), 支气管扩张(8.7), 不良反应(7.7)
169	人群的	7	9	73.45	38.7908	目标(15.3), 心力衰竭(8.3), 严重程度(8.0), 每年(7.8), 死亡率(7.5)
170	治疗与	6	9	73.42	38.7877	慢阻肺(12.0), 附属(11.1), 住院(8.8), 康复(8.3), 针对(7.8)
171	治疗需	5	9	72.57	38.6836	姑息(11.6), 家庭(10.2), 住院(8.8), 人员(8.3), 雾化(7.7)
172	治疗对	7	9	72.09	38.6256	什么(13.8), 抗生素(8.8), 血嗜酸粒细胞(8.5), 舒张剂(8.3), 雾化(7.7)
173	估患	6	9	71.93	38.6056	委员会(9.2), 注意(9.1), 基层医疗机构(9.1), 然而(8.6), 分析(8.4)
174	病学分	14	7	246.15	38.57	中华医学会(106.4), 呼吸(103.1), 组织(9.8), 感染(9.1), 中国(6.3)
175	或合	4	9	70.52	38.4302	蛋白酶(11.2), 哮喘(11.2), 年龄岁(8.7), LABALAMAICS(7.7), ICSLABA(7.7)
176	重大	6	9	70.19	38.3878	修订(10.3), 工作(8.4), 高血压(8.4), 方面(7.9), 产生(7.9)
177	对呼	5	9	68.36	38.1538	问卷(9.3), 人群(8.9), 结局(8.3), 呼吸困难(7.6), 急性加重(7.1)
178	吸入治	7	9	68.11	38.1211	首选(8.9), 住院(8.8), 药物(7.7), 稳定期(7.7), 雾化(7.7)
179	重者	6	9	67.33	38.0188	引起(9.9), 住院(8.8), 心律失常(8.4), 呼吸困难(7.6), 合并(7.2)
180	数的	6	9	65.02	37.7092	任何(10.6), 文献报道(9.0), 预防(8.3), 结果(7.6), 变化(7.2)
181	诊治指	19	7	216.61	37.6791	疾病(118.7), 修订版(38.5), 修订(20.6), 慢阻肺(12.0), 解读(10.6)
182	诊治指南	19	7	216.61	37.6791	疾病(118.7), 修订版(38.5), 修订(20.6), 慢阻肺(12.0), 解读(10.6)
183	状与	5	9	63.74	37.5337	肺功能(11.0), 依据(8.3), 结果(7.6), 温度(7.4), 无创通气(7.0)
184	痰的	4	9	63.32	37.4742	细胞(9.7), 扩张(8.8), 急性加重(7.1), 细菌(7.1), 患者(6.8)
185	在重	4	9	63.04	37.4362	高血压(8.4), 确保(8.2), 高碳酸血症(7.9), 改变(7.9), 结果(7.6)
186	肺中	6	9	58.34	36.7489	下降(8.0), 尤其是(7.9), 症状(7.3), 气流受限(7.1), 治疗(6.7)
187	J中华结	19	8	97.71	36.7372	指南(33.1), 专家共识(21.0), 检查(8.8), 分析(8.4), 药物(7.7)
188	在COPD	4	8	95.32	36.5417	试验(19.9), 临床(17.4), 锻炼(14.0), 营养(12.1), 它们(11.0)
189	肺存	7	8	92.05	36.2647	感染(18.2), 体重指数(17.1), 支持(13.7), 作用(11.7), 委员会(9.2)
190	的改善	5	8	89.29	36.0241	优于单(19.9), 终点(18.4), 症状(14.7), 造成(9.8), 意识(7.7)
191	了慢	7	8	88.76	35.9772	因素(30.5), 气道(12.6), 修订版指南(9.2), 诊断(8.2), 药物(7.7)
192	了慢阻	6	8	88.76	35.9772	因素(30.5), 气道(12.6), 修订版指南(9.2), 诊断(8.2), 药物(7.7)
193	人的	5	8	87.33	35.8488	结果显示(18.4), 密切(12.3), 依赖(10.7), 家庭(10.2), 日常生活(9.6)
194	和一	6	8	86.87	35.8069	人群(17.9), 二氧化(17.8), 健康状况(9.8), 感染(9.1), 风险(8.9)
195	和慢阻肺	9	8	86.39	35.763	症状(14.7), 急性加重(14.2), 合并症(14.0), 技巧(11.6), 糖尿(10.2)
196	和支	6	8	85.08	35.6419	水肿(18.3), 所有(12.1), 吸烟(11.5), 强烈(10.8), 引起(9.9)
197	病风	6	8	84.77	35.6132	心血管(23.1), 更新(15.5), 因素(15.2), 暴露史(8.9), 治疗(6.7)
198	风险的	8	8	80.97	35.2505	急性加重(28.4), 死亡(10.1), 慢阻肺病(9.8), 心血管(7.7), 因素(7.6)
199	者呼	7	8	80.66	35.2208	症状(22.0), 疲劳(12.7), 酸中毒(10.1), 康复(8.3), 减轻(8.2)
200	controlledtrial	12	8	80.63	35.218	doubleblind(12.8), doubleblindparallelgroup(11.7), exercisetraining(11.3), multicentrerandomised(10.9), randomizedcontrolled(10.0)
201	药物治疗的	6	8	80.47	35.202	随访(19.3), 稳定期(15.4), 口服(9.9), 基础上(8.3), 依据(8.3)
202	物治疗的	6	8	80.47	35.202	随访(19.3), 稳定期(15.4), 口服(9.9), 基础上(8.3), 依据(8.3)
203	吸病学分	14	7	149.92	35.1171	中华医学会(106.4), 组织(9.8), 感染(9.1), 呼吸(6.9), 中国(6.3)
204	和咳	4	8	78.17	34.9732	咳嗽(21.0), 呼吸困难(15.3), 咳痰(8.9), 临床(8.7), 合并症(7.0)
205	等的	6	8	75.97	34.7469	浓度(16.3), 钟南山(13.0), 深入探(10.2), 手术(8.7), 干预(8.5)
206	气的	6	8	75.91	34.7412	越来越(12.4), 补充(10.2), pMDISMI(10.2), 禁忌证(9.9), 区域(9.5)
207	是不	5	8	75.78	34.7271	狭窄(14.4), 吸烟(11.5), 它们(11.0), 教育(10.3), 健康(9.1)
208	道的	6	8	75.53	34.7017	狭窄(14.4), 胃肠(12.0), 微生物群(9.2), 全身(8.6), 全球(8.1)
209	的分	7	8	74.58	34.6016	患者(20.5), 慢阻肺(12.0), 简称(10.8), 临床(8.7), 预后(6.6)
210	netcn	18	8	73.91	34.5308	指南(16.6), 解读(10.6), 随访(9.6), patientswith(8.8), chronicobstructivepulmonarydisease(8.5)
211	氧和	4	8	73.52	34.4886	二氧化(17.8), 影像(9.6), 夜间(9.3), 意义(8.9), 运动(8.4)
212	因素的	8	8	73.51	34.4875	干预(17.0), 患者(13.7), 戒烟(8.9), 例如(8.2), 菌感染(7.6)
213	治疗慢	11	8	72.97	34.429	急性加重(14.2), 溴铵(11.3), 噻托溴铵(11.3), 组织(9.8), 栓塞(8.2)
214	重复	6	8	71.6	34.2792	随访(19.3), 回顾(12.5), 药物(7.7), 死亡率(7.5), 治疗(6.7)
215	的医疗	5	8	71.21	34.2362	条件(10.7), 培训(10.4), 专业(9.7), 服务(9.4), 然而(8.6)
