词语	频次	PMI	左熵	右熵	得分	删除原因
计划	13	10.0437	3.2389	3.5466	16.8292	停用词
AndersonJA	6	13.0437	2.3219	1.371	16.7366	英文人名
FabbriLM	4	13.5583	1.585	1.585	16.7282	英文人名
SystematicReview	4	13.7218	1.5	1.5	16.7218	英文人名
CochraneDatabaseSystRev	12	11.9848	1.771	2.9219	16.6777	英文人名
PulmonDis	5	12.4208	1.9219	2.3219	16.6647	英文人名
具有	46	6.8859	5.0724	4.6838	16.642	停用词
是否	49	7.9224	4.7676	3.9404	16.6304	停用词
特征	37	8.0132	3.9387	4.6618	16.6136	停用词
进一步	26	8.4648	4.0081	4.1039	16.5768	停用词
方法	29	8.0935	3.7623	4.6511	16.5069	停用词
因此	30	7.5064	4.5899	4.3484	16.4447	停用词
chenrcvip163com	3	13.7807	0.9183	1.585	16.284	字母数字混合噪声
DOI101056	21	7.5843	4.3923	4.2971	16.2737	字母数字混合噪声
163com	4	13.4588	0.8113	2.0	16.27	字母数字混合噪声
可能	106	5.5082	5.682	5.0793	16.2695	停用词
S22132600	15	12.1957	2.0049	2.0131	16.2138	字母数字混合噪声
ObstructivePulmonaryDisease	15	11.8717	1.1451	3.1808	16.1976	英文人名
接受	39	7.7819	4.1698	4.2274	16.179	停用词
FEV1FVC	16	9.7639	3.875	2.5306	16.1695	字母数字混合噪声
以及	47	5.9018	5.1981	5.044	16.1439	停用词
300μl	7	11.7721	2.1281	2.2359	16.1361	字母数字混合噪声
同时	39	6.716	5.0803	4.263	16.0592	停用词
12842099	4	13.5583	1.0	1.5	16.0583	纯数字
采用	29	6.9125	4.3232	4.789	16.0246	停用词
CalverleyPM	5	11.9871	2.0	2.0	15.9871	英文人名
形成	10	9.9062	2.9219	3.1219	15.9501	停用词
DOI101164rccm	22	7.204	4.3685	4.3685	15.941	字母数字混合噪声
DOI101016	65	7.37	5.9608	2.6086	15.9395	字母数字混合噪声
不同	55	6.8049	5.1584	3.9009	15.8642	停用词
没有	24	7.4498	3.9906	4.4183	15.8587	停用词
SystRev	15	11.6287	1.0389	3.1899	15.8575	英文人名
差异	20	9.33	2.5955	3.9219	15.8474	停用词
PIFR30Lmin	4	12.7807	1.5	1.5	15.7807	字母数字混合噪声
ZhengJP	4	13.7807	1.0	1.0	15.7807	英文人名
DatabaseSystRev	12	11.7218	0.8167	3.085	15.6235	英文人名
COVID19	7	10.2812	2.5216	2.8074	15.6102	字母数字混合噪声
随着	12	9.166	3.4183	3.0221	15.6063	停用词
长期	55	6.8391	4.738	4.0238	15.6008	停用词
DOI101164	42	7.3713	5.3447	2.8659	15.5819	字母数字混合噪声
继续	8	10.0803	2.75	2.75	15.5803	停用词
发生	73	6.1279	4.4712	4.9029	15.502	停用词
由于	21	7.4389	3.9754	4.0707	15.4849	停用词
longactingbeta2	6	11.3068	2.2516	1.9183	15.4767	字母数字混合噪声
DOI103760cmaj	20	7.3884	4.2219	3.8219	15.4322	字母数字混合噪声
ChronicObstructive	13	10.9893	3.2389	1.1451	15.3733	英文人名
DOI101136	25	7.5404	4.6439	3.1591	15.3433	字母数字混合噪声
30Lmin	6	11.8213	1.2516	2.2516	15.3246	字母数字混合噪声
AmJRespirCritCareMed	33	9.5521	1.3386	4.4306	15.3213	英文人名
FEVFVC07	9	9.6287	2.7255	2.9477	15.3019	字母数字混合噪声
系统	43	10.0032	2.3011	2.9352	15.2395	停用词
阶段	3	12.0437	1.585	1.585	15.2137	停用词
从而	12	8.1949	3.585	3.4183	15.1982	停用词
方式	15	7.8794	3.4566	3.7736	15.1095	停用词
比较	16	7.7779	3.75	3.5778	15.1057	停用词
一般	14	8.2549	3.6645	3.182	15.1014	停用词
明显	31	7.8522	3.6634	3.56	15.0756	停用词
MetaAnalysis	4	12.5583	1.5	1.0	15.0583	英文人名
CritCareMed	40	9.3702	1.0171	4.6313	15.0185	英文人名
DOI101186	15	7.6514	3.9069	3.4566	15.0149	字母数字混合噪声
ThoracSoc	6	12.5583	0.65	1.7925	15.0008	英文人名
此外	12	7.9669	3.585	3.4183	14.9702	停用词
仍然	10	9.0821	3.1219	2.7219	14.926	停用词
部分	28	6.7306	4.8074	3.3769	14.9148	停用词
综合	33	8.2458	3.9047	2.755	14.9055	停用词
作为	35	6.0292	4.569	4.2721	14.8703	停用词
EOS300μl	3	11.6838	1.585	1.585	14.8538	字母数字混合噪声
手段	7	9.8067	2.5216	2.5216	14.85	停用词
CochraneDatabase	13	12.1592	1.5059	1.1451	14.8102	英文人名
已经	8	8.7769	3.0	3.0	14.7769	停用词
明确	21	7.4324	3.8802	3.4633	14.7758	停用词
适当	17	8.383	3.5725	2.8138	14.7693	停用词
RespirCritCareMed	33	9.3041	0.9654	4.4761	14.7456	英文人名
场所	7	10.0723	1.8424	2.8074	14.7221	停用词
类似	8	9.3009	3.0	2.4056	14.7066	停用词
确定	22	6.6074	3.9363	4.1524	14.696	停用词
各种	10	8.2509	3.1219	3.3219	14.6947	停用词
途径	5	11.7807	1.5219	1.371	14.6736	停用词
虽然	4	11.1177	2.0	1.5	14.6177	停用词
路径	6	10.9062	1.9183	1.7925	14.617	停用词
DOI102147COPD	11	7.6514	3.4594	3.4594	14.5703	字母数字混合噪声
beta2agonists	3	12.0437	0.9183	1.585	14.547	字母数字混合噪声
CareMed	43	9.2615	0.586	4.6759	14.5235	英文人名
PulmonaryDisease	15	10.7141	0.6998	3.1069	14.5209	英文人名
FEV1FVC07	6	9.6514	2.2516	2.585	14.488	字母数字混合噪声
模式	5	9.8358	2.3219	2.3219	14.4797	停用词
反复	20	7.2002	3.7842	3.4842	14.4686	停用词
S2213260018	7	9.9442	1.6645	2.8074	14.416	字母数字混合噪声
频率	21	8.3228	2.7014	3.368	14.3922	停用词
012345	8	9.3884	3.0	2.0	14.3884	纯数字
FEV1FVC70	4	10.3657	2.0	2.0	14.3657	字母数字混合噪声
之间	16	8.1249	3.4528	2.7718	14.3495	停用词
FVC07	15	9.548	1.3383	3.4566	14.3429	字母数字混合噪声
具备	7	8.6932	2.8074	2.8074	14.3079	停用词
某些	6	10.4349	1.9183	1.9183	14.2715	停用词
2011365	4	11.4588	0.8113	2.0	14.27	纯数字
90d	3	11.0558	1.585	1.585	14.2257	字母数字混合噪声
actingbeta2	10	11.6432	0.8113	1.75	14.2045	字母数字混合噪声
ErnstP	5	12.1957	1.0	1.0	14.1957	英文人名
12	89	6.8868	3.7919	3.4956	14.1743	纯数字
beta2agonist	6	11.6652	1.2516	1.2516	14.1685	字母数字混合噪声
LiX	4	10.9733	1.585	1.585	14.1433	英文人名
首先	5	9.4879	2.3219	2.3219	14.1318	停用词
次数	20	6.8819	3.2219	4.0219	14.1258	停用词
BurdenofDisease	4	11.0803	1.5	1.5	14.0803	英文人名
EnglJMed	17	9.3472	1.2577	3.4548	14.0597	英文人名
得到	9	8.1584	2.9477	2.9477	14.0538	停用词
DOI10118309031936	12	7.3295	3.4183	3.2516	13.9994	字母数字混合噪声
PatientswithChronic	4	10.4588	1.5	2.0	13.9588	英文人名
2011183	3	10.7807	1.585	1.585	13.9506	纯数字
获得	11	9.5665	2.4817	1.8676	13.9159	停用词
actingbeta2agonist	5	11.6652	1.5219	0.7219	13.9091	字母数字混合噪声
11	70	6.2261	4.1219	3.5414	13.8895	纯数字
多种	19	6.6705	3.5369	3.6819	13.8893	停用词
KerwinE	4	11.8738	1.0	1.0	13.8738	英文人名
CalverleyP	4	9.8738	2.0	2.0	13.8738	英文人名
101164rccm	30	7.4618	1.6366	4.7736	13.872	字母数字混合噪声
CareMed2018198	3	10.6932	1.585	1.585	13.8632	字母数字混合噪声
100μl	4	10.8579	1.5	1.5	13.8579	字母数字混合噪声
DOI10100214651858	11	7.204	3.2776	3.2776	13.7592	字母数字混合噪声
1001jama	3	11.2502	0.9183	1.585	13.7534	字母数字混合噪声
再次	9	8.7412	2.9477	2.0588	13.7477	停用词
issn1001	19	10.6277	2.4995	0.5907	13.718	字母数字混合噪声
CelliB	3	11.1957	1.585	0.9183	13.699	英文人名
pH7	5	9.8111	2.3219	1.5219	13.6549	字母数字混合噪声
44	92	8.1391	2.9477	2.5033	13.5901	纯数字
建立	6	8.7339	2.2516	2.585	13.5705	停用词
Longactingbeta2	3	11.0437	1.585	0.9183	13.547	字母数字混合噪声
DOI101183	24	7.2364	4.335	1.9737	13.545	字母数字混合噪声
对照	31	6.97	3.6797	2.8774	13.5271	停用词
DPI524	3	10.9964	0.9183	1.585	13.4997	字母数字混合噪声
AmThoracSoc	5	10.1957	1.371	1.9219	13.4886	英文人名
无论	8	8.3185	3.0	2.1556	13.4742	停用词
260018	8	9.8738	0.5436	3.0	13.4174	纯数字
thoraxjnl2014	4	9.8738	1.5	2.0	13.3738	字母数字混合噪声
1mmHg0	4	10.483	2.0	0.8113	13.2943	字母数字混合噪声
0133kPa	4	10.483	0.8113	2.0	13.2943	字母数字混合噪声
单纯	3	10.1177	1.585	1.585	13.2877	停用词
CAT20	4	9.2729	2.0	2.0	13.2729	字母数字混合噪声
有关	35	4.8109	4.0687	4.3864	13.266	停用词
10	479	11.2525	1.0	1.0	13.2525	纯数字
特殊	4	9.2467	2.0	2.0	13.2467	停用词
尽管	11	6.4877	3.4594	3.2776	13.2248	停用词
2023208	4	10.7218	1.5	1.0	13.2218	纯数字
LancetRespirMed	14	9.9931	1.0613	2.1556	13.21	英文人名
基于	21	5.3393	3.9754	3.8802	13.1949	停用词
EOS100	3	10.6838	1.585	0.9183	13.1871	字母数字混合噪声
状态	15	7.0588	2.9232	3.1396	13.1216	停用词
DOI103760	28	7.4144	4.7359	0.9218	13.0721	字母数字混合噪声
07	28	8.7358	0.6402	3.6901	13.0661	纯数字
通常	19	5.4511	4.0374	3.5766	13.0651	停用词
ZhouY	5	11.0582	1.0	1.0	13.0582	英文人名
DOI101513	8	7.6514	3.0	2.4056	13.057	字母数字混合噪声
基本	13	7.0559	3.1808	2.8074	13.0441	停用词
恰当	6	9.5244	2.2516	1.2516	13.0276	停用词
AdvisoryCommitteeon	3	10.5077	0.9183	1.585	13.0109	英文人名
符合	6	8.1489	2.585	2.2516	12.9855	停用词
全面	12	6.6336	3.585	2.7516	12.9702	停用词
SinghD	3	10.9394	1.0	1.0	12.9394	英文人名
LiuN	3	10.4271	1.585	0.9183	12.9303	英文人名
DOI101111	10	7.2729	3.3219	2.3219	12.9168	字母数字混合噪声
issn1673436X	3	11.0803	0.9183	0.9183	12.9168	字母数字混合噪声
完全	9	8.4336	2.4194	2.0588	12.9118	停用词
充分	14	6.6051	3.6645	2.6385	12.908	停用词
预测	16	6.3145	3.375	3.2028	12.8924	停用词
尤其	20	8.0907	4.2219	0.569	12.8816	停用词
PooleP	3	10.8738	1.0	1.0	12.8738	英文人名
101016j	43	7.4618	1.098	4.3068	12.8665	字母数字混合噪声
DOI101378	13	7.2644	3.7004	1.8543	12.8191	字母数字混合噪声
DOI101378chest	8	7.0664	3.0	2.75	12.8164	字母数字混合噪声
jissn1671	4	9.7807	2.0	1.0	12.7807	字母数字混合噪声
协调	15	8.7392	1.5589	2.4662	12.7644	停用词
总体	12	7.1209	3.4183	2.2213	12.7604	停用词
有效	32	4.7563	4.1123	3.875	12.7436	停用词
jissn10010939	8	8.6932	1.2988	2.75	12.742	字母数字混合噪声
192	10	9.5532	1.585	1.585	12.7231	纯数字
InternMed	3	9.5077	1.585	1.585	12.6776	英文人名
状况	29	7.068	1.406	4.1852	12.6593	停用词
许多	5	8.3999	1.9219	2.3219	12.6437	停用词
DOI103760cma	23	7.4201	4.4366	0.7654	12.6221	字母数字混合噪声
以上	29	6.0927	2.5506	3.9523	12.5957	停用词
10118313993003	11	7.4618	1.6729	3.4594	12.5941	纯数字
AmJRespirCritCare	32	10.4144	1.1809	0.9881	12.5833	英文人名
逐步	3	9.396	1.585	1.585	12.566	停用词
20212429	3	10.0619	1.585	0.9183	12.5651	纯数字
另外	4	8.5519	2.0	2.0	12.5519	停用词
RespirMed	24	7.4061	1.6676	3.4633	12.537	英文人名
一些	14	6.231	3.3249	2.9781	12.534	停用词
深入	10	7.5641	2.9219	2.0464	12.5325	停用词
DiseaseStudy	3	9.9283	0.9183	1.585	12.4315	英文人名
10100214651858	15	7.4618	1.37	3.5899	12.4216	纯数字
HeartLung	3	9.9062	0.9183	1.585	12.4095	英文人名
ThoracSoc201512	3	9.8899	0.9183	1.585	12.3932	字母数字混合噪声
PM25	4	9.3884	1.5	1.5	12.3884	字母数字混合噪声
PapiA	3	10.3808	1.0	1.0	12.3808	英文人名
jissn10079572	6	9.7807	0.65	1.9183	12.349	字母数字混合噪声
最终	7	7.005	2.8074	2.5216	12.334	停用词
DOI10118313993003	7	6.9993	2.5216	2.8074	12.3283	字母数字混合噪声
重要	55	4.7406	3.6115	3.9664	12.3185	停用词
CritCare	44	10.5981	0.9271	0.7746	12.2998	英文人名
101378chest	12	7.4618	1.585	3.2516	12.2984	字母数字混合噪声
简易	4	8.7958	2.0	1.5	12.2958	停用词
以下	23	5.6428	3.5512	3.0994	12.2935	停用词
包含	4	8.2755	2.0	2.0	12.2755	停用词
DOI101093	6	7.429	2.585	2.2516	12.2656	字母数字混合噪声
DOI101136thx	6	7.429	2.585	2.2516	12.2656	字母数字混合噪声
或者	30	3.3831	4.3647	4.5069	12.2548	停用词
68	15	7.4086	2.585	2.2516	12.2451	纯数字
DOI101016jrmed	6	7.0664	2.585	2.585	12.2364	字母数字混合噪声
AnzuetoA	4	10.2108	1.0	1.0	12.2108	英文人名
1544	4	8.1833	2.0	2.0	12.1833	纯数字
CochraneDatabaseSystRev2012	3	9.0081	1.585	1.585	12.178	字母数字混合噪声
21	38	5.659	3.2516	3.2516	12.1622	纯数字
LancetRespirMed20186	3	9.6514	0.9183	1.585	12.1547	字母数字混合噪声
Med20186	6	8.6514	1.2516	2.2516	12.1547	字母数字混合噪声
因为	19	4.6835	3.9321	3.5316	12.1473	停用词
200628	3	10.3068	0.9183	0.9183	12.1434	纯数字
10118309031936	15	7.4618	1.0389	3.6402	12.1409	纯数字
FVC0	18	9.4435	1.7689	0.9142	12.1265	字母数字混合噪声
AmJRespirCrit	36	10.4588	1.1041	0.5579	12.1207	英文人名
jcn112147	4	9.7807	0.8113	1.5	12.092	字母数字混合噪声
形式	3	8.9062	1.585	1.585	12.0761	停用词
103760cmaj	24	7.4618	0.9834	3.568	12.0132	字母数字混合噪声
并且	9	5.8953	3.1699	2.9477	12.013	停用词
FEV1	42	7.6235	2.585	1.7925	12.001	字母数字混合噪声
过程	17	5.8686	3.6901	2.4404	11.9991	停用词
RespirRes	8	9.0942	0.65	2.2516	11.9958	英文人名
简单	7	8.0922	2.5216	1.3788	11.9926	停用词
89	9	7.4789	2.2516	2.2516	11.9822	纯数字
结构	7	6.6309	2.5216	2.8074	11.9599	停用词
特别	14	6.9455	3.5216	1.4838	11.951	停用词
详细	4	8.429	2.0	1.5	11.929	停用词
1371	10	8.7458	1.585	1.585	11.9157	纯数字
RespirMed20186	4	9.0942	0.8113	2.0	11.9055	字母数字混合噪声
DOI101016S01406736	6	7.0664	2.585	2.2516	11.903	字母数字混合噪声
2021revision	3	10.0619	0.9183	0.9183	11.8985	字母数字混合噪声
期间	15	5.2385	2.9996	3.6402	11.8783	停用词
具体	9	5.7477	3.1699	2.9477	11.8653	停用词
101016jrmed	9	7.4618	1.4466	2.9477	11.8561	字母数字混合噪声
必要	11	6.5958	3.0272	2.2222	11.8452	停用词
适合	10	6.0494	2.8464	2.9219	11.8177	停用词
初步	5	8.0886	2.3219	1.371	11.7815	停用词
EnglJMed2011	3	9.2782	1.585	0.9183	11.7815	字母数字混合噪声
1326	3	8.6063	1.585	1.585	11.7762	纯数字
涉及	3	8.5712	1.585	1.585	11.7412	停用词
Chest2005	3	9.8738	0.9183	0.9183	11.7104	字母数字混合噪声
设置	4	8.1672	1.5	2.0	11.6672	停用词
DOI101136bmj	4	7.6514	2.0	2.0	11.6514	字母数字混合噪声
DOI101177	4	7.6514	2.0	2.0	11.6514	字母数字混合噪声
DOI101111resp	4	7.6514	2.0	2.0	11.6514	字母数字混合噪声
DOI101371journalpone	4	7.6514	2.0	2.0	11.6514	字母数字混合噪声
13	50	5.6415	2.9183	3.085	11.6447	纯数字
101016S01406736	9	7.4618	1.4466	2.7255	11.6339	字母数字混合噪声
AmJRespir	43	9.5508	0.961	1.1179	11.6297	英文人名
1566	3	8.429	1.585	1.585	11.5989	纯数字
Med2011365	3	9.0926	0.9183	1.585	11.5959	字母数字混合噪声
2016193	3	9.7509	0.9183	0.9183	11.5875	纯数字
DOI101002	13	7.2644	3.5466	0.7732	11.5842	字母数字混合噪声
除了	5	6.9327	2.3219	2.3219	11.5766	停用词
PDE4	4	8.4057	1.585	1.585	11.5756	字母数字混合噪声
VestboJ	9	7.8783	2.3219	1.371	11.5711	英文人名
S2213260013	3	8.3999	1.585	1.585	11.5698	字母数字混合噪声
20195496346	3	9.7218	0.9183	0.9183	11.5584	纯数字
01	25	6.9924	3.2776	1.2776	11.5477	纯数字
jissn1001	10	8.8547	1.761	0.9219	11.5376	字母数字混合噪声
EBOL2020	3	9.0081	1.585	0.9183	11.5114	字母数字混合噪声
GOLD2025	4	8.0114	1.5	2.0	11.5114	字母数字混合噪声
issn100109392013	3	8.3396	1.585	1.585	11.5095	字母数字混合噪声
DOI101371journal	6	7.6514	2.585	1.2516	11.488	字母数字混合噪声
MetalThe	3	8.2996	1.585	1.585	11.4695	英文人名
201409	3	9.4588	1.0	1.0	11.4588	纯数字
DOI101016S22132600	6	7.0664	2.585	1.7925	11.4439	字母数字混合噪声
受到	8	5.6748	2.75	3.0	11.4248	停用词
2019156	3	8.9144	1.585	0.9183	11.4177	纯数字
RespirJ2010	3	8.9144	0.9183	1.585	11.4177	字母数字混合噪声
1176	3	8.2364	1.585	1.585	11.4063	纯数字
201648	3	8.8765	0.9183	1.585	11.3797	纯数字
101016	79	7.4618	1.3487	2.5678	11.3782	纯数字
260013	4	8.5519	0.8113	2.0	11.3632	纯数字
FEV180	3	8.8579	0.9183	1.585	11.3611	字母数字混合噪声
SetalEffectof	3	8.1709	1.585	1.585	11.3408	英文人名
DOI101164ajrccm	4	7.3295	2.0	2.0	11.3295	字母数字混合噪声
RespirCritCareMed2023	4	8.9993	0.8113	1.5	11.3106	字母数字混合噪声
Med2018	12	7.21	2.3554	1.7296	11.295	字母数字混合噪声
1530	3	8.1209	1.585	1.585	11.2908	纯数字
Med2023	6	7.7707	1.2516	2.2516	11.274	字母数字混合噪声
DOI101007	5	6.6148	2.3219	2.3219	11.2586	字母数字混合噪声
DOI101136thoraxjnl	5	7.3884	2.3219	1.5219	11.2322	字母数字混合噪声
101164	51	7.4338	1.2317	2.5584	11.2238	纯数字
RespirCritCare	38	9.4677	0.8673	0.8673	11.2022	英文人名
SystRev2012	3	8.6862	0.9183	1.585	11.1894	字母数字混合噪声
安排	3	8.6838	1.585	0.9183	11.1871	停用词
22	22	5.1847	3.0	3.0	11.1847	纯数字
制定	9	5.253	2.9477	2.9477	11.1484	停用词
应该	6	5.9705	2.585	2.585	11.1404	停用词
Dis2017	3	8.6332	1.585	0.9183	11.1365	字母数字混合噪声
20	39	7.9482	1.585	1.585	11.1182	纯数字
Med2024	5	7.2446	1.5219	2.3219	11.0885	字母数字混合噪声
及其	13	4.8041	3.027	3.2389	11.07	停用词
一致	14	5.3804	2.5567	3.1281	11.0652	停用词
30min2	3	8.5455	1.585	0.9183	11.0487	字母数字混合噪声
012	11	7.3611	3.1699	0.5033	11.0342	纯数字
101183	32	7.4618	1.5613	1.9795	11.0025	纯数字
RespirJ2019	4	7.493	1.5	2.0	10.993	字母数字混合噪声
14	31	5.8104	2.585	2.585	10.9803	纯数字
101111	13	7.3549	1.1451	2.4697	10.9696	纯数字
101016S22132600	9	7.4618	1.4466	2.0588	10.9672	字母数字混合噪声
101111j	4	7.4618	1.5	2.0	10.9618	字母数字混合噪声
1617	4	7.952	1.5	1.5	10.952	纯数字
分为	13	4.1642	3.3927	3.3927	10.9497	停用词
过去	3	8.4192	0.9183	1.585	10.9225	停用词
127	9	7.7007	1.585	1.585	10.8706	纯数字
23	40	5.6338	2.5581	2.6757	10.8675	纯数字
相应	20	4.422	3.8842	2.5577	10.8639	停用词
32	20	4.6338	3.0958	3.0958	10.8254	纯数字
DOI101513AnnalsATS	3	7.6514	1.585	1.585	10.8213	字母数字混合噪声
DOI101097	3	7.6514	1.585	1.585	10.8213	字母数字混合噪声
DOI1012037YXQY	3	7.6514	1.585	1.585	10.8213	字母数字混合噪声
DOI101016s22132600	3	7.6514	1.585	1.585	10.8213	字母数字混合噪声
pMDI13	4	7.8149	1.5	1.5	10.8149	字母数字混合噪声
LancetRespirMed2014	3	8.9733	0.9183	0.9183	10.8099	字母数字混合噪声
issn100109392019	3	7.6343	1.585	1.585	10.8043	字母数字混合噪声
VestboJetal	4	6.7991	2.0	2.0	10.7991	英文人名
LungDisease	3	8.7907	1.0	1.0	10.7907	英文人名
Med2004	3	8.2853	1.585	0.9183	10.7885	字母数字混合噪声
之后	7	6.4007	2.2359	2.1281	10.7647	停用词
31	21	4.3899	3.2776	3.0958	10.7633	纯数字
202021	4	7.7602	1.5	1.5	10.7602	纯数字
Med2011	6	7.5077	1.4591	1.7925	10.7593	字母数字混合噪声
BronchiectasisasaComorbidityof	3	8.7559	1.0	1.0	10.7559	英文人名
211	17	6.5037	1.9219	2.3219	10.7475	纯数字
同样	4	6.7336	2.0	2.0	10.7336	停用词
流程	12	5.2902	2.1887	3.2516	10.7305	停用词
201942	4	7.8889	0.8113	2.0	10.7002	纯数字
51	14	5.0613	2.8074	2.8074	10.676	纯数字
74	12	6.021	2.3219	2.3219	10.6648	纯数字
S0140673618	3	8.8213	0.9183	0.9183	10.6579	字母数字混合噪声
DOI103969jissn	4	7.6514	1.5	1.5	10.6514	字母数字混合噪声
101038	3	7.4618	1.585	1.585	10.6317	纯数字
890DOI10	3	7.4618	1.585	1.585	10.6317	字母数字混合噪声
actingbeta2agonistin	4	8.1249	1.0	1.5	10.6249	字母数字混合噪声
FEV150	3	8.0989	0.9183	1.585	10.6021	字母数字混合噪声
201011	3	7.429	1.585	1.585	10.5989	纯数字
18	40	7.4034	1.585	1.585	10.5733	纯数字
协同	8	7.0092	2.1556	1.4056	10.5705	停用词
1213	5	6.568	2.0	2.0	10.568	纯数字
1312	5	6.568	2.0	2.0	10.568	纯数字
67	12	6.6818	1.9219	1.9219	10.5256	纯数字
101164ajrccm	5	7.4618	0.7219	2.3219	10.5056	字母数字混合噪声
137	7	6.9746	2.0	1.5	10.4746	纯数字
78	7	6.4687	2.0	2.0	10.4687	纯数字
Med2016	5	6.2149	1.9219	2.3219	10.4587	字母数字混合噪声
201707	3	7.2853	1.585	1.585	10.4552	纯数字
20127	4	6.4535	2.0	2.0	10.4535	纯数字
345	13	7.6626	0.5033	2.281	10.4468	纯数字
1216	4	6.9357	1.5	2.0	10.4357	纯数字
42	19	5.4184	2.75	2.25	10.4184	纯数字
关系	8	5.6667	1.75	3.0	10.4167	停用词
DOI103760jissn	3	7.2364	1.585	1.585	10.4063	字母数字混合噪声
DOI101016S2213260018	3	7.2364	1.585	1.585	10.4063	字母数字混合噪声
RespirMed2013	3	7.8421	1.585	0.9183	10.3454	字母数字混合噪声
DOI101016jchest	4	7.3295	1.5	1.5	10.3295	字母数字混合噪声
关于	12	3.9926	3.085	3.2516	10.3292	停用词
214DOI10	3	7.1409	1.585	1.585	10.3108	字母数字混合噪声
202412	4	7.305	1.5	1.5	10.305	纯数字
3205	3	7.132	1.585	1.585	10.302	纯数字
2①	3	7.1304	1.585	1.585	10.3004	纯数字
决定	5	6.4534	1.9219	1.9219	10.2972	停用词
